capture_id,report,date,radio,channel,edge,gain_mode,configured_gain_db,sample_rate_hz,capture_rms_rx0_dbfs,capture_rms_rx1_dbfs,track_count,dual_valid_track_count,strong_slope_track_count
ch1-lower-edge-narrow-20260811T045702Z,ch1-lower-edge-narrow-20260811T045702Z.json,2026-08-11,legacy-radio,1,lower,manual,50.0,2500000.0,-9.223823572786728,-11.137695865742113,0,0,0
ch1-lower-edge-narrow-pluto-19f2-20260811T050333Z,ch1-lower-edge-narrow-pluto-19f2-20260811T050333Z.json,2026-08-11,pluto-19f2,1,lower,slow_attack,,2500000.0,-12.716825616500797,-12.608096383545561,3,0,0
ch1-lower-edge-narrow-pluto-19f2-20260811T053133Z,ch1-lower-edge-narrow-pluto-19f2-20260811T053133Z.json,2026-08-11,pluto-19f2,1,lower,slow_attack,,2500000.0,-12.772521955661462,-12.278494008575688,1,1,1
ch1-lower-edge-narrow-pluto-19f2-20260811T055032Z,ch1-lower-edge-narrow-pluto-19f2-20260811T055032Z.json,2026-08-11,pluto-19f2,1,lower,manual,50.0,2500000.0,-8.318359459166064,-7.913023679971365,2,0,0
ch1-lower-edge-narrow-pluto-19f2-20260811T060059Z,ch1-lower-edge-narrow-pluto-19f2-20260811T060059Z.json,2026-08-11,pluto-19f2,1,lower,slow_attack,,2500000.0,-12.599126814328006,-12.6368702312353,3,0,0
ch1-lower-edge-narrow-pluto-19f2-20260811T060512Z,ch1-lower-edge-narrow-pluto-19f2-20260811T060512Z.json,2026-08-11,pluto-19f2,1,lower,manual,50.0,2500000.0,-8.36218767095475,-7.946165195347867,2,0,0
ch1-lower-edge-narrow-pluto-19f2-20260811T061954Z,ch1-lower-edge-narrow-pluto-19f2-20260811T061954Z.json,2026-08-11,pluto-19f2,1,lower,manual,50.0,2500000.0,-8.06071855028007,-7.485967232476232,2,0,0
ch1-lower-edge-narrow-pluto-19f2-20260811T063639Z,ch1-lower-edge-narrow-pluto-19f2-20260811T063639Z.json,2026-08-11,pluto-19f2,1,lower,manual,50.0,2500000.0,-8.423136838827618,-8.04469486877528,0,0,0
ch1-lower-edge-narrow-pluto-19f2-20260811T064254Z,ch1-lower-edge-narrow-pluto-19f2-20260811T064254Z.json,2026-08-11,pluto-19f2,1,lower,manual,50.0,2500000.0,-8.245639145474318,-7.85919543089506,4,0,0
ch1-lower-edge-narrow-pluto-19f2-20260811T070356Z,ch1-lower-edge-narrow-pluto-19f2-20260811T070356Z.json,2026-08-11,pluto-19f2,1,lower,manual,50.0,2500000.0,-8.306297439086157,-7.901863193564895,0,0,0
ch1-lower-edge-narrow-pluto-19f2-20260811T070805Z,ch1-lower-edge-narrow-pluto-19f2-20260811T070805Z.json,2026-08-11,pluto-19f2,1,lower,manual,50.0,2500000.0,-8.098742232267814,-7.653277333528184,1,1,1
ch1-lower-edge-narrow-pluto-19f2-20260811T072244Z,ch1-lower-edge-narrow-pluto-19f2-20260811T072244Z.json,2026-08-11,pluto-19f2,1,lower,manual,50.0,2500000.0,-8.32739212924394,-7.893170325456323,3,2,2
ch1-lower-edge-narrow-pluto-19f2-20260811T073104Z,ch1-lower-edge-narrow-pluto-19f2-20260811T073104Z.json,2026-08-11,pluto-19f2,1,lower,manual,50.0,2500000.0,-8.227203809029207,-7.831075103339721,0,0,0
ch1-lower-edge-narrow-pluto-19f2-20260811T073720Z,ch1-lower-edge-narrow-pluto-19f2-20260811T073720Z.json,2026-08-11,pluto-19f2,1,lower,manual,50.0,2500000.0,-8.096564007672942,-7.732186146787411,3,0,0
ch1-lower-edge-narrow-pluto-19f2-20260811T074746Z,ch1-lower-edge-narrow-pluto-19f2-20260811T074746Z.json,2026-08-11,pluto-19f2,1,lower,slow_attack,,2500000.0,-12.202109584258746,-12.768096791005663,0,0,0
ch1-lower-edge-narrow-pluto-19f2-20260811T075610Z,ch1-lower-edge-narrow-pluto-19f2-20260811T075610Z.json,2026-08-11,pluto-19f2,1,lower,manual,50.0,2500000.0,-8.169459817636206,-7.714974423306553,3,0,0
ch1-lower-edge-narrow-pluto-19f2-20260811T080432Z,ch1-lower-edge-narrow-pluto-19f2-20260811T080432Z.json,2026-08-11,pluto-19f2,1,lower,slow_attack,,2500000.0,-12.116258959908377,-12.639867627921706,3,0,0
ch1-lower-edge-narrow-pluto-19f2-20260811T082324Z,ch1-lower-edge-narrow-pluto-19f2-20260811T082324Z.json,2026-08-11,pluto-19f2,1,lower,slow_attack,,2500000.0,-12.228998000452272,-12.313748861715762,1,0,0
ch1-lower-edge-narrow-pluto-19f2-20260811T083559Z,ch1-lower-edge-narrow-pluto-19f2-20260811T083559Z.json,2026-08-11,pluto-19f2,1,lower,manual,50.0,2500000.0,-8.378342174068647,-7.915993643958002,0,0,0
ch1-lower-edge-narrow-pluto-19f2-20260811T084836Z,ch1-lower-edge-narrow-pluto-19f2-20260811T084836Z.json,2026-08-11,pluto-19f2,1,lower,slow_attack,,2500000.0,-12.18625409507811,-12.933128808791581,0,0,0
ch1-lower-edge-narrow-pluto-19f2-20260811T085903Z,ch1-lower-edge-narrow-pluto-19f2-20260811T085903Z.json,2026-08-11,pluto-19f2,1,lower,manual,50.0,2500000.0,-8.382153233451186,-7.9431003358313825,1,0,0
ch1-lower-edge-narrow-pluto-19f2-20260811T092207Z,ch1-lower-edge-narrow-pluto-19f2-20260811T092207Z.json,2026-08-11,pluto-19f2,1,lower,manual,50.0,2500000.0,-8.12606322067839,-7.686656483851012,3,0,0
ch1-lower-edge-narrow-pluto-19f2-20260811T093441Z,ch1-lower-edge-narrow-pluto-19f2-20260811T093441Z.json,2026-08-11,pluto-19f2,1,lower,slow_attack,,2500000.0,-12.14065437168175,-12.641462805626539,0,0,0
ch1-lower-edge-narrow-pluto-19f2-20260811T100157Z,ch1-lower-edge-narrow-pluto-19f2-20260811T100157Z.json,2026-08-11,pluto-19f2,1,lower,manual,50.0,2500000.0,-8.49820317212538,-8.04150477238205,1,0,0
ch1-lower-edge-narrow-pluto-19f2-20260811T101630Z,ch1-lower-edge-narrow-pluto-19f2-20260811T101630Z.json,2026-08-11,pluto-19f2,1,lower,slow_attack,,2500000.0,-12.304992774373266,-12.7413317710666,2,1,0
ch1-lower-edge-narrow-pluto-19f2-20260811T105203Z,ch1-lower-edge-narrow-pluto-19f2-20260811T105203Z.json,2026-08-11,pluto-19f2,1,lower,manual,50.0,2500000.0,-8.120995338342269,-7.642620915052465,3,3,1
ch1-lower-edge-narrow-pluto-19f2-20260811T112942Z,ch1-lower-edge-narrow-pluto-19f2-20260811T112942Z.json,2026-08-11,pluto-19f2,1,lower,manual,50.0,2500000.0,-8.423835926889945,-7.98509205327783,1,0,0
ch1-lower-edge-narrow-pluto-19f2-20260811T113803Z,ch1-lower-edge-narrow-pluto-19f2-20260811T113803Z.json,2026-08-11,pluto-19f2,1,lower,slow_attack,,2500000.0,-12.301395140215712,-12.71472989026962,4,4,1
ch1-lower-edge-narrow-pluto-19f2-20260811T114009Z,ch1-lower-edge-narrow-pluto-19f2-20260811T114009Z.json,2026-08-11,pluto-19f2,1,lower,slow_attack,,2500000.0,-12.293630574882277,-12.730848378545787,1,1,1
ch1-lower-edge-narrow-pluto-19f2-20260811T121136Z,ch1-lower-edge-narrow-pluto-19f2-20260811T121136Z.json,2026-08-11,pluto-19f2,1,lower,manual,50.0,2500000.0,-8.65237755078459,-8.223051885455318,0,0,0
ch1-lower-edge-narrow-pluto-19f2-20260811T122201Z,ch1-lower-edge-narrow-pluto-19f2-20260811T122201Z.json,2026-08-11,pluto-19f2,1,lower,manual,50.0,2500000.0,-8.202579666988484,-7.713812119056149,4,0,0
ch1-lower-edge-narrow-pluto-19f2-20260811T123229Z,ch1-lower-edge-narrow-pluto-19f2-20260811T123229Z.json,2026-08-11,pluto-19f2,1,lower,manual,50.0,2500000.0,-8.524257877673678,-8.11398134701605,0,0,0
ch1-lower-edge-narrow-pluto-19f2-20260811T125527Z,ch1-lower-edge-narrow-pluto-19f2-20260811T125527Z.json,2026-08-11,pluto-19f2,1,lower,slow_attack,,2500000.0,-12.375927284044742,-12.463045199833832,2,1,0
ch1-lower-edge-narrow-pluto-19f2-20260811T131215Z,ch1-lower-edge-narrow-pluto-19f2-20260811T131215Z.json,2026-08-11,pluto-19f2,1,lower,manual,50.0,2500000.0,-8.257289359843934,-7.724309064198302,2,0,0
ch1-lower-edge-narrow-pluto-19f2-20260811T135246Z,ch1-lower-edge-narrow-pluto-19f2-20260811T135246Z.json,2026-08-11,pluto-19f2,1,lower,slow_attack,,2500000.0,-12.312382269362264,-12.369387633682667,2,0,0
ch1-lower-edge-narrow-pluto-19f2-20260811T140722Z,ch1-lower-edge-narrow-pluto-19f2-20260811T140722Z.json,2026-08-11,pluto-19f2,1,lower,manual,50.0,2500000.0,-8.099383902162465,-7.638244443947013,4,0,0
ch1-lower-edge-narrow-pluto-19f2-20260811T140927Z,ch1-lower-edge-narrow-pluto-19f2-20260811T140927Z.json,2026-08-11,pluto-19f2,1,lower,slow_attack,,2500000.0,-12.332635323574799,-12.638539029508953,2,0,0
ch1-lower-edge-narrow-pluto-19f2-20260811T141752Z,ch1-lower-edge-narrow-pluto-19f2-20260811T141752Z.json,2026-08-11,pluto-19f2,1,lower,manual,50.0,2500000.0,-8.201884475497023,-7.7962099446630155,0,0,0
ch1-lower-edge-narrow-pluto-19f2-20260811T144048Z,ch1-lower-edge-narrow-pluto-19f2-20260811T144048Z.json,2026-08-11,pluto-19f2,1,lower,slow_attack,,2500000.0,-12.354556999695088,-12.612467489920425,3,0,0
ch1-lower-edge-narrow-pluto-19f2-20260811T144509Z,ch1-lower-edge-narrow-pluto-19f2-20260811T144509Z.json,2026-08-11,pluto-19f2,1,lower,slow_attack,,2500000.0,-12.191195457861765,-12.746188018579298,2,0,0
ch1-lower-edge-narrow-pluto-19f2-20260811T150835Z,ch1-lower-edge-narrow-pluto-19f2-20260811T150835Z.json,2026-08-11,pluto-19f2,1,lower,slow_attack,,2500000.0,-12.271653289868388,-12.923047124329479,0,0,0
ch1-lower-edge-narrow-pluto-19f2-20260811T151250Z,ch1-lower-edge-narrow-pluto-19f2-20260811T151250Z.json,2026-08-11,pluto-19f2,1,lower,manual,50.0,2500000.0,-8.110177168290129,-7.529278385655895,4,0,0
